32	5930
101	3846
116	2644
97	2071
111	1986
110	1979
115	1797
105	1701
114	1522
104	1433
108	1069
100	901
102	731
117	694
99	689
44	542
109	538
98	421
121	368
112	366
10	355
13	355
103	326
67	296
83	279
118	272
119	266
46	198
45	185
84	148
80	143
49	137
58	108
78	106
59	105
77	90
65	90
73	84
82	79
85	76
76	76
55	76
120	74
56	69
79	63
74	61
50	59
68	57
86	54
72	51
69	51
107	48
57	40
66	36
89	31
87	30
113	29
106	28
71	28
51	28
70	23
88	22
41	19
40	19
53	19
48	18
122	18
52	16
54	15
124	11
34	6
81	4
39	2
75	2
91	1
93	1
48	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
11	0
12	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
33	0
35	0
36	0
37	0
38	0
42	0
43	0
47	0
60	0
61	0
62	0
63	0
64	0
90	0
92	0
94	0
95	0
96	0
123	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	0
199	0
200	0
201	0
202	0
203	0
204	0
205	0
206	0
207	0
208	0
209	0
210	0
211	0
212	0
213	0
214	0
215	0
216	0
217	0
218	0
219	0
220	0
221	0
222	0
223	0
224	0
225	0
226	0
227	0
228	0
229	0
230	0
231	0
232	0
233	0
234	0
235	0
236	0
237	0
238	0
239	0
240	0
241	0
242	0
243	0
244	0
245	0
246	0
247	0
248	0
249	0
250	0
251	0
252	0
253	0
254	0
255	0
